exact_leaf_hits,iterations,method,quality_score,runtime_ms,simulations
0,,SM_MCTS,1.997638888657093,20.228299996233545,128
0,,SM_MCTS,1.997638888657093,19.648299996333662,512
,256,GT_CFR,2.9994097221642733,69.72319999476895,
