exploitability,n,opp_nll,robust_score
0.0,3,1.0986122886681098,0.375
0.0,5,1.6094379124341003,6.125
0.0,9,2.1972245773362196,15.208333333333334
0.0,13,2.5649493574615367,23.583333333333332
